#{"t_start": 1744104159.0435402, "env_id": "None"}
r,l,t
500.0,500,84.852547
500.0,500,84.974678
500.0,500,85.0209
500.0,500,85.041618
500.0,500,85.306922
500.0,500,85.440964
500.0,500,85.473234
500.0,500,85.490262
500.0,500,85.740824
500.0,500,85.920688
500.0,500,86.023694
500.0,500,86.051228
500.0,500,86.325166
500.0,500,86.456925
500.0,500,86.494664
500.0,500,86.508259
500.0,500,92.142447
500.0,500,92.285854
500.0,500,92.318491
500.0,500,92.3433
500.0,500,92.621475
500.0,500,92.717511
500.0,500,92.733159
500.0,500,92.764946
500.0,500,93.066921
500.0,500,93.190074
500.0,500,93.223289
500.0,500,93.249056
500.0,500,93.524808
500.0,500,93.690698
500.0,500,93.722904
500.0,500,93.747626
500.0,500,94.056813
500.0,500,99.742243
500.0,500,99.758108
500.0,500,99.773908
500.0,500,100.117967
500.0,500,100.38024
500.0,500,100.445664
500.0,500,100.497768
500.0,500,101.089757
500.0,500,101.407792
500.0,500,101.489291
500.0,500,101.553719
500.0,500,102.182645
500.0,500,102.31379
500.0,500,102.354813
500.0,500,102.382873
500.0,500,102.809794
